"","BE010101","BE010102","BE010103","BE010104","BE010105","BE010106","BE010107","BE010108","BE010109","BE010110","BE010111","BE010112","BE010113","BE010114","BE010115","BE010116","BE010117","BE010118","BE010119"
"NÚMERO SECUENCIAL",586293,586294,586295,586292,586296,586297,1626652,586291,601280,601281,601279,601272,601274,601273,601277,721776,585826,722383,675923
"DESCRIPCIÓN DE LA SERIE","UEM.Consumo Privado.Tasa de variación interanual","UEM.Consumo Público.Tasa de variación interanual","UEM.Formación Bruta de Capital Fijo.Tasa de variación interanual","UEM.Demanda interior.Tasa de variación interanual","UEM.Exportaciones de bienes y servicios.Tasa de variación interanual","UEM.Importaciones de bienes y servicios.Tasa de variación interanual","UEM.Saldo neto exterior.Precios constantes.Porcentaje del PIB","UEM.PIB.Tasa de variación interanual","UEM.Consumo Privado.Deflactor.Tasa de variación interanual","UEM.Consumo Público.Deflactor.Tasa de variación interanual","UEM.PIB.Deflactor.Tasa de variación interanual","UEM.Remuneración por asalariado.Tasa de variación interanual","UEM.Productividad laboral.Tasa de variación interanual","UEM.Coste laboral unitario.Tasa de variación interanual","UEM.Población ocupada.Tasa de variación interanual","UEM.Población ocupada en la industria.Tasa de variación interanual","UEM.PIB.Tasa de desempleo.Tasa de variación interanual","UEM.  NUMERO DE DESEMPLEADOS","UEM. BALANZA POR CUENTA CORRRIENTE"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Millones de Personas","Millones de Euros"
"2000 SEP",2.99,2.36,4.67,3.57,12.21,11.72,0.64,3.85,2.61,2.14,1.40,2.67,1.42,1.21,2.46,0.76,8.32,12.079,-7455
"2000 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.20,"_",-8034
"2000 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.15,"_",-8580
"2000 DEC",2.27,2.54,3.75,2.96,13.32,12.40,0.76,3.41,2.84,2.02,1.61,2.42,0.90,1.49,2.50,1.08,8.10,11.807,-7403
"2001 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.00,"_",-9372
"2001 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.02,"_",-3791
"2001 MAR",2.58,1.94,2.26,2.35,9.34,7.91,1.11,2.93,2.38,2.27,2.00,2.39,0.81,1.55,2.10,1.21,8.01,11.617,-5103
"2001 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.96,"_",-11748
"2001 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.99,"_",-6842
"2001 JUN",2.02,2.03,1.27,1.59,5.84,4.72,1.04,2.03,2.74,2.61,2.39,2.66,0.38,2.25,1.63,0.68,7.99,11.589,-3717
"2001 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.98,"_",1065
"2001 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.00,"_",943
"2001 SEP",2.00,1.90,-0.18,1.06,2.56,0.98,1.22,1.63,2.26,2.82,2.48,2.62,0.24,2.36,1.40,-0.03,8.04,11.656,-474
"2001 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.07,"_",1771
"2001 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.12,"_",968
"2001 DEC",1.60,2.33,-0.91,0.17,-1.30,-3.66,1.62,1.01,1.93,3.29,2.85,2.90,0.02,2.87,1.02,-0.73,8.16,11.853,9246
"2002 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.16,"_",3192
"2002 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.22,"_",2562
"2002 MAR",0.58,2.01,-1.96,-0.04,-1.09,-2.59,1.64,0.50,2.07,3.14,2.78,2.64,-0.53,3.17,1.05,-1.20,8.21,12.017,5931
"2002 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.26,"_",-8438
"2002 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.34,"_",-2627
"2002 JUN",0.61,2.71,-2.59,0.01,1.59,-0.85,1.94,0.91,1.71,2.96,2.40,2.69,0.11,2.57,0.82,-1.20,8.42,12.273,5953
"2002 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.46,"_",9912
"2002 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.50,"_",6287
"2002 SEP",1.06,2.70,-1.09,0.56,3.03,1.37,1.83,1.19,1.76,3.34,2.61,2.68,0.56,2.11,0.63,-1.10,8.54,12.536,6983
"2002 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.55,"_",1575
"2002 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.62,"_",8906
"2002 DEC",1.53,2.15,0.21,1.16,3.91,3.98,1.64,1.18,1.88,2.81,2.44,2.49,0.78,1.67,0.38,-1.17,8.68,12.729,5759
"2003 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.75,"_",-4274
"2003 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.80,"_",-452
"2003 MAR",1.43,2.00,0.08,1.61,2.62,4.66,0.94,0.94,2.28,2.51,2.14,2.42,0.79,1.59,0.13,-1.15,8.82,13.073,3354
"2003 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.78,"_",-7760
"2003 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.79,"_",-4028
"2003 JUN",1.32,1.49,1.73,1.46,-0.02,2.72,0.95,0.49,2.02,2.51,2.34,2.23,0.18,2.02,0.29,-1.40,8.81,13.108,2007
"2003 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.82,"_",5077
"2003 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.82,"_",3515
"2003 SEP",1.17,1.75,1.73,1.14,0.96,2.35,1.33,0.66,2.14,2.95,2.32,2.61,0.18,2.40,0.47,-1.48,8.87,13.212,4285
"2003 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.85,"_",6054
"2003 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.86,"_",4921
"2003 DEC",0.96,1.70,1.45,1.56,1.86,3.05,1.22,1.17,2.15,1.90,1.93,2.13,0.35,1.75,0.81,-1.84,8.91,13.293,8373
"2004 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.94,"_",-1169
"2004 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.96,"_",5185
"2004 MAR",1.45,1.77,2.09,1.23,4.93,3.61,1.46,1.75,1.78,2.28,2.03,2.53,1.03,1.46,0.72,-1.91,8.97,13.451,11213
"2004 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.95,"_",4654
"2004 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.96,"_",-1347
"2004 JUN",1.45,1.76,2.00,1.47,8.65,6.85,1.66,2.21,2.28,2.66,2.05,2.49,1.46,0.99,0.75,-1.39,8.98,13.521,4563
"2004 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.00,"_",10203
"2004 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.02,"_",1828
"2004 SEP",1.09,1.62,1.75,2.22,7.05,7.92,1.08,2.03,2.19,0.84,1.68,1.68,1.20,0.45,0.84,-1.53,9.03,13.659,3458
"2004 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.01,"_",7645
"2004 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.04,"_",3184
"2004 DEC",1.89,1.14,1.65,1.93,6.70,7.47,0.99,1.76,2.06,2.38,1.88,2.04,0.86,1.14,0.91,-0.74,9.07,13.740,14170
"2005 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.03,"_",-7137
"2005 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.04,"_",4274
"2005 MAR",1.58,1.27,1.83,1.61,4.84,5.51,1.25,1.45,1.99,2.19,1.94,1.71,0.43,1.23,1.01,-0.92,9.09,13.789,4176
"2005 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.04,"_",-3924
"2005 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.04,"_",-3984
"2005 JUN",1.86,1.74,3.32,2.27,4.07,5.91,1.00,1.67,1.90,1.62,1.89,1.83,0.68,1.12,0.98,-1.33,9.00,13.786,5137
"2005 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.98,"_",5679
"2005 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.95,"_",-3947
"2005 SEP",2.34,1.62,4.08,1.86,6.13,5.97,1.19,1.99,2.15,2.49,1.96,1.96,1.06,0.87,0.92,-1.01,8.93,13.688,2979
"2005 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.90,"_",2660
"2005 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.86,"_",77
"2005 DEC",1.68,1.55,4.63,2.25,6.11,6.56,0.85,2.15,2.29,3.20,2.15,2.41,1.19,1.21,0.93,-1.20,8.81,13.594,7484
"2006 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.76,"_",-6113
"2006 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.73,"_",-1612
"2006 MAR",2.14,2.32,4.78,2.97,8.94,9.92,0.95,2.72,2.31,2.22,1.98,2.04,1.35,0.69,1.35,-0.82,8.70,13.433,-604
"2006 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.55,"_",-5288
"2006 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.45,"_",-13931
"2006 JUN",2.13,1.59,5.92,2.89,8.73,8.26,1.24,3.14,2.32,3.14,2.00,2.41,1.37,1.03,1.75,-0.38,8.38,13.045,4717
"2006 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.25,"_",-15
"2006 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.21,"_",-2442
"2006 SEP",1.90,1.68,5.49,3.18,7.18,7.57,1.08,3.10,2.13,2.15,2.00,2.43,1.37,1.06,1.71,-0.13,8.15,12.651,3580
"2006 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.07,"_",2124
"2006 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.01,"_",4964
"2006 DEC",2.42,2.38,6.91,2.77,9.58,7.90,1.57,3.48,1.90,0.89,1.85,2.11,1.73,0.36,1.70,0.08,7.93,12.382,13240
"2007 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.76,"_",-2387
"2007 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.68,"_",-3171
"2007 MAR",1.64,2.13,7.26,3.03,7.03,6.18,1.33,3.41,2.06,1.60,2.36,2.53,1.54,0.98,1.82,0.33,7.60,11.907,9616
"2007 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.52,"_",-4178
"2007 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.49,"_",-14135
"2007 JUN",1.71,2.13,4.52,2.35,5.97,5.32,1.55,2.66,2.10,0.92,2.41,2.37,0.93,1.44,1.70,0.28,7.46,11.645,13190
"2007 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.48,"_",5169
"2007 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.46,"_",-599
"2007 SEP",1.83,2.18,4.30,2.32,6.80,5.98,1.47,2.69,2.15,1.69,2.43,2.33,0.80,1.50,1.84,0.16,7.40,11.619,4665
"2007 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.38,"_",5055
"2007 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.33,"_",929
"2007 DEC",1.24,1.94,3.26,1.96,3.96,3.46,1.81,2.19,2.86,2.60,2.39,2.92,0.45,2.48,1.70,0.14,7.30,11.472,4706
"2008 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.27,"_",-17653
"2008 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.23,"_",7707
"2008 MAR",1.56,1.61,2.83,1.67,5.59,4.35,1.91,2.22,3.02,2.69,2.14,3.13,0.65,2.46,1.53,0.34,7.20,11.359,-5825
"2008 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.29,"_",-6609
"2008 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.39,"_",-22957
"2008 JUN",0.53,2.30,1.08,0.90,4.01,2.62,2.18,1.50,3.37,3.71,2.37,3.16,0.34,2.79,1.10,0.12,7.45,11.601,663
"2008 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.51,"_",-3443
"2008 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.58,"_",-11117
"2008 SEP",-0.04,2.34,-1.01,0.35,1.41,1.10,1.62,0.49,3.50,2.91,2.35,3.42,-0.07,3.48,0.49,-0.29,7.68,11.956,-6871
"2008 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.86,"_",-7526
"2008 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.01,"_",-15529
"2008 DEC",-0.72,2.48,-5.54,-0.43,-6.68,-3.78,0.43,-1.71,2.05,2.32,2.46,2.80,-1.65,4.52,-0.12,-1.32,8.20,12.658,-4620
"2009 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.53,"_",-28409
"2009 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.78,"_",-7019
"2009 MAR",-1.41,2.61,-11.02,-3.15,-16.59,-12.88,-0.05,-4.87,0.50,2.68,1.87,1.84,-3.57,5.55,-1.38,-2.85,9.02,13.862,-6957
"2009 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.20,"_",-9375
"2009 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.32,"_",-12951
"2009 JUN",-0.81,2.19,-10.90,-3.35,-17.06,-14.37,0.66,-4.67,-0.58,1.54,0.93,"_","_","_","_","_",9.43,14.745,"_"
"2009 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.53,"_","_"
